name;channel;circles;br.cont;blur.int;otsu.offset;dist.metric;water.tolerance;water.ext;size.threshold;left.circles;removed.circles;circles
EA.hy926 2018-04-16 03F_02;G;171;^ 1;1;0,3;euclidean;0,05;5;50;171;148;1
EA.hy926 2018-04-16 03F_03;G;159;^ 1;1;0,3;euclidean;0,05;5;50;159;83;3
EA.hy926 2018-04-16 04C_01_c2;G;10;^ 1;1;0,3;euclidean;0,05;5;50;10;2;7
EA.hy926 2018-04-16 04C_02;G;46;^ 1;1;0,3;euclidean;0,05;5;50;46;30;18
EA.hy926 2018-04-16 04C_03;G;349;^ 1;1;0,3;euclidean;0,05;5;50;349;329;2
EA.hy926 2018-04-16 04D_01;G;68;^ 1;1;0,3;euclidean;0,05;5;50;68;54;17
EA.hy926 2018-04-16 04D_02;G;288;^ 1;1;0,3;euclidean;0,05;5;50;288;220;10
EA.hy926 2018-04-16 04D_03;G;29;^ 1;1;0,3;euclidean;0,05;5;50;29;16;13
EA.hy926 2018-04-16 04E_01;G;169;^ 1;1;0,3;euclidean;0,05;5;50;169;193;5
EA.hy926 2018-04-16 04E_02;G;129;^ 1;1;0,3;euclidean;0,05;5;50;129;135;14
EA.hy926 2018-04-16 04E_03;G;94;^ 1;1;0,3;euclidean;0,05;5;50;94;65;3
EA.hy926 2018-04-16 04F_01;G;209;^ 1;1;0,3;euclidean;0,05;5;50;209;101;8
EA.hy926 2018-04-16 04F_02;G;145;^ 1;1;0,3;euclidean;0,05;5;50;145;129;3
EA.hy926 2018-04-16 04F_03;G;296;^ 1;1;0,3;euclidean;0,05;5;50;296;130;17
EA.hy926 2018-04-16 05C_01;G;257;^ 1;1;0,3;euclidean;0,05;5;50;257;162;0
EA.hy926 2018-04-16 05C_02;G;179;^ 1;1;0,3;euclidean;0,05;5;50;179;69;8
EA.hy926 2018-04-16 05C_03;G;400;^ 1;1;0,3;euclidean;0,05;5;50;400;86;7
EA.hy926 2018-04-16 05D_01;G;0;^ 1;1;0,3;euclidean;0,05;5;50;0;0;6
EA.hy926 2018-04-16 05D_02;G;293;^ 1;1;0,3;euclidean;0,05;5;50;293;188;24
EA.hy926 2018-04-16 05D_03;G;219;^ 1;1;0,3;euclidean;0,05;5;50;219;131;11
EA.hy926 2018-04-16 05E_01;G;237;^ 1;1;0,3;euclidean;0,05;5;50;237;113;36
EA.hy926 2018-04-16 05E_02;G;283;^ 1;1;0,3;euclidean;0,05;5;50;283;168;24
EA.hy926 2018-04-16 05E_03;G;168;^ 1;1;0,3;euclidean;0,05;5;50;168;40;19
EA.hy926 2018-04-16 05F_01;G;206;^ 1;1;0,3;euclidean;0,05;5;50;206;113;0
EA.hy926 2018-04-16 05F_02;G;184;^ 1;1;0,3;euclidean;0,05;5;50;184;78;27
EA.hy926 2018-04-16 05F_03;G;27;^ 1;1;0,3;euclidean;0,05;5;50;27;8;36
EA.hy926 2018-04-16 06C_01;G;195;^ 1;1;0,3;euclidean;0,05;5;50;195;210;10
EA.hy926 2018-04-16 06C_02;G;238;^ 1;1;0,3;euclidean;0,05;5;50;238;316;0
EA.hy926 2018-04-16 06C_03;G;58;^ 1;1;0,3;euclidean;0,05;5;50;58;32;21
EA.hy926 2018-04-16 06D_01;G;130;^ 1;1;0,3;euclidean;0,05;5;50;130;106;3
EA.hy926 2018-04-16 06D_02;G;68;^ 1;1;0,3;euclidean;0,05;5;50;68;38;19
EA.hy926 2018-04-16 06D_03;G;85;^ 1;1;0,3;euclidean;0,05;5;50;85;50;17
EA.hy926 2018-04-16 06E_01;G;44;^ 1;1;0,3;euclidean;0,05;5;50;44;19;13
EA.hy926 2018-04-16 06E_02;G;237;^ 1;1;0,3;euclidean;0,05;5;50;237;150;4
EA.hy926 2018-04-16 06E_03;G;251;^ 1;1;0,3;euclidean;0,05;5;50;251;152;6
EA.hy926 2018-04-16 06F_01;G;226;^ 1;1;0,3;euclidean;0,05;5;50;226;112;13
EA.hy926 2018-04-16 06F_02;G;136;^ 1;1;0,3;euclidean;0,05;5;50;136;79;6
EA.hy926 2018-04-16 06F_03;G;122;^ 1;1;0,3;euclidean;0,05;5;50;122;64;4
EA.hy926 2018-04-16 07C_01;G;269;^ 1;1;0,3;euclidean;0,05;5;50;269;189;14
EA.hy926 2018-04-16 07C_02;G;271;^ 1;1;0,3;euclidean;0,05;5;50;271;154;22
EA.hy926 2018-04-16 07C_03;G;124;^ 1;1;0,3;euclidean;0,05;5;50;124;87;7
EA.hy926 2018-04-16 07D_01;G;38;^ 1;1;0,3;euclidean;0,05;5;50;38;15;2
EA.hy926 2018-04-16 07D_02;G;62;^ 1;1;0,3;euclidean;0,05;5;50;62;36;18
EA.hy926 2018-04-16 07D_03;G;40;^ 1;1;0,3;euclidean;0,05;5;50;40;20;31
EA.hy926 2018-04-16 07E_01;G;241;^ 1;1;0,3;euclidean;0,05;5;50;241;84;11
EA.hy926 2018-04-16 07E_02;G;121;^ 1;1;0,3;euclidean;0,05;5;50;121;73;11
EA.hy926 2018-04-16 07E_03;G;191;^ 1;1;0,3;euclidean;0,05;5;50;191;123;4
EA.hy926 2018-04-16 07F_01;G;116;^ 1;1;0,3;euclidean;0,05;5;50;116;78;35
EA.hy926 2018-04-16 07F_02;G;90;^ 1;1;0,3;euclidean;0,05;5;50;90;66;30
EA.hy926 2018-04-16 07F_03;G;86;^ 1;1;0,3;euclidean;0,05;5;50;86;73;21
