"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"F5_03";"G";704;"^ 0.5";1;0.3;"euclidean";0.05;5;20;704;111;"report_5H7+TGF-beta.csv";"2018-10-04";1
"G5_01";"G";675;"^ 0.5";1;0.3;"euclidean";0.05;5;20;675;128;"report_5H7+TGF-beta.csv";"2018-10-04";1
"G5_02";"G";1056;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1056;188;"report_5H7+TGF-beta.csv";"2018-10-04";1
"G5_03";"G";842;"^ 0.5";1;0.3;"euclidean";0.05;5;20;842;149;"report_5H7+TGF-beta.csv";"2018-10-04";1
"B8_01";"G";654;"^ 0.5";1;0.3;"euclidean";0.05;5;20;654;123;"report_control.csv";"2018-10-04";1
"B8_02";"G";459;"^ 0.5";1;0.3;"euclidean";0.05;5;20;459;47;"report_control.csv";"2018-10-04";1
"B8_03";"G";674;"^ 0.5";1;0.3;"euclidean";0.05;5;20;674;84;"report_control.csv";"2018-10-04";1
"C8_01";"G";473;"^ 0.5";1;0.3;"euclidean";0.05;5;20;473;62;"report_control.csv";"2018-10-04";1
"C8_02";"G";626;"^ 0.5";1;0.3;"euclidean";0.05;5;20;626;70;"report_control.csv";"2018-10-04";1
"C8_03";"G";506;"^ 0.5";1;0.3;"euclidean";0.05;5;20;506;72;"report_control.csv";"2018-10-04";1
"D8_01";"G";473;"^ 0.5";1;0.3;"euclidean";0.05;5;20;473;76;"report_control.csv";"2018-10-04";1
"D8_02";"G";614;"^ 0.5";1;0.3;"euclidean";0.05;5;20;614;78;"report_control.csv";"2018-10-04";1
"D8_03";"G";918;"^ 0.5";1;0.3;"euclidean";0.05;5;20;918;142;"report_control.csv";"2018-10-04";1
"E8_01";"G";442;"^ 0.5";1;0.3;"euclidean";0.05;5;20;442;50;"report_control.csv";"2018-10-04";1
"E8_02";"G";482;"^ 0.5";1;0.3;"euclidean";0.05;5;20;482;56;"report_control.csv";"2018-10-04";1
"E8_03";"G";1253;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1253;243;"report_control.csv";"2018-10-04";1
"F8_01";"G";359;"^ 0.5";1;0.3;"euclidean";0.05;5;20;359;49;"report_control.csv";"2018-10-04";1
"F8_02";"G";430;"^ 0.5";1;0.3;"euclidean";0.05;5;20;430;42;"report_control.csv";"2018-10-04";1
"F8_03";"G";273;"^ 0.5";1;0.3;"euclidean";0.05;5;20;273;34;"report_control.csv";"2018-10-04";1
"G8_01";"G";197;"^ 0.5";1;0.3;"euclidean";0.05;5;20;197;18;"report_control.csv";"2018-10-04";1
"G8_02";"G";597;"^ 0.5";1;0.3;"euclidean";0.05;5;20;597;64;"report_control.csv";"2018-10-04";1
"G8_03";"G";471;"^ 0.5";1;0.3;"euclidean";0.05;5;20;471;56;"report_control.csv";"2018-10-04";1
"B7_01";"G";305;"^ 0.5";1;0.3;"euclidean";0.05;5;20;305;26;"report_TGF-beta.csv";"2018-10-04";1
"B7_02";"G";396;"^ 0.5";1;0.3;"euclidean";0.05;5;20;396;44;"report_TGF-beta.csv";"2018-10-04";1
"B7_03";"G";358;"^ 0.5";1;0.3;"euclidean";0.05;5;20;358;46;"report_TGF-beta.csv";"2018-10-04";1
"C7_01";"G";329;"^ 0.5";1;0.3;"euclidean";0.05;5;20;329;27;"report_TGF-beta.csv";"2018-10-04";1
"C7_02";"G";569;"^ 0.5";1;0.3;"euclidean";0.05;5;20;569;55;"report_TGF-beta.csv";"2018-10-04";1
"C7_03";"G";254;"^ 0.5";1;0.3;"euclidean";0.05;5;20;254;35;"report_TGF-beta.csv";"2018-10-04";1
"D7_01";"G";454;"^ 0.5";1;0.3;"euclidean";0.05;5;20;454;29;"report_TGF-beta.csv";"2018-10-04";1
"D7_02";"G";585;"^ 0.5";1;0.3;"euclidean";0.05;5;20;585;42;"report_TGF-beta.csv";"2018-10-04";1
"D7_03";"G";347;"^ 0.5";1;0.3;"euclidean";0.05;5;20;347;26;"report_TGF-beta.csv";"2018-10-04";1
"E7_01";"G";387;"^ 0.5";1;0.3;"euclidean";0.05;5;20;387;32;"report_TGF-beta.csv";"2018-10-04";1
"E7_02";"G";599;"^ 0.5";1;0.3;"euclidean";0.05;5;20;599;49;"report_TGF-beta.csv";"2018-10-04";1
"E7_03";"G";352;"^ 0.5";1;0.3;"euclidean";0.05;5;20;352;50;"report_TGF-beta.csv";"2018-10-04";1
"F7_01";"G";272;"^ 0.5";1;0.3;"euclidean";0.05;5;20;272;31;"report_TGF-beta.csv";"2018-10-04";1
"F7_02";"G";518;"^ 0.5";1;0.3;"euclidean";0.05;5;20;518;36;"report_TGF-beta.csv";"2018-10-04";1
"F7_03";"G";373;"^ 0.5";1;0.3;"euclidean";0.05;5;20;373;32;"report_TGF-beta.csv";"2018-10-04";1
"G7_01";"G";390;"^ 0.5";1;0.3;"euclidean";0.05;5;20;390;61;"report_TGF-beta.csv";"2018-10-04";1
"G7_02";"G";629;"^ 0.5";1;0.3;"euclidean";0.05;5;20;629;90;"report_TGF-beta.csv";"2018-10-04";1
"G7_03";"G";521;"^ 0.5";1;0.3;"euclidean";0.05;5;20;521;37;"report_TGF-beta.csv";"2018-10-04";1
