"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"C4_03";"G";1067;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1067;198;"report_4E4+TGF-beta.csv";"2018-10-04";1
"D4_01";"G";1016;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1016;149;"report_4E4+TGF-beta.csv";"2018-10-04";1
"D4_02";"G";1233;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1233;245;"report_4E4+TGF-beta.csv";"2018-10-04";1
"D4_03";"G";1010;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1010;150;"report_4E4+TGF-beta.csv";"2018-10-04";1
"E4_01";"G";1224;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1224;194;"report_4E4+TGF-beta.csv";"2018-10-04";1
"E4_02";"G";1199;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1199;204;"report_4E4+TGF-beta.csv";"2018-10-04";1
"E4_03";"G";1255;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1255;229;"report_4E4+TGF-beta.csv";"2018-10-04";1
"F4_01";"G";963;"^ 0.5";1;0.3;"euclidean";0.05;5;20;963;178;"report_4E4+TGF-beta.csv";"2018-10-04";1
"F4_02";"G";983;"^ 0.5";1;0.3;"euclidean";0.05;5;20;983;188;"report_4E4+TGF-beta.csv";"2018-10-04";1
"F4_03";"G";1440;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1440;348;"report_4E4+TGF-beta.csv";"2018-10-04";1
"G4_01";"G";864;"^ 0.5";1;0.3;"euclidean";0.05;5;20;864;134;"report_4E4+TGF-beta.csv";"2018-10-04";1
"G4_02";"G";958;"^ 0.5";1;0.3;"euclidean";0.05;5;20;958;157;"report_4E4+TGF-beta.csv";"2018-10-04";1
"G4_03";"G";801;"^ 0.5";1;0.3;"euclidean";0.05;5;20;801;88;"report_4E4+TGF-beta.csv";"2018-10-04";1
"B5-03";"G";950;"^ 0.5";1;0.3;"euclidean";0.05;5;20;950;132;"report_5H7+TGF-beta.csv";"2018-10-04";1
"B5_01";"G";1521;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1521;233;"report_5H7+TGF-beta.csv";"2018-10-04";1
"B5_02";"G";1515;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1515;228;"report_5H7+TGF-beta.csv";"2018-10-04";1
"C5_01";"G";1068;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1068;178;"report_5H7+TGF-beta.csv";"2018-10-04";1
"C5_02";"G";1322;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1322;211;"report_5H7+TGF-beta.csv";"2018-10-04";1
"C5_03";"G";1103;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1103;160;"report_5H7+TGF-beta.csv";"2018-10-04";1
"D5_01";"G";1181;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1181;278;"report_5H7+TGF-beta.csv";"2018-10-04";1
"D5_02";"G";1501;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1501;205;"report_5H7+TGF-beta.csv";"2018-10-04";1
"D5_03";"G";1319;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1319;162;"report_5H7+TGF-beta.csv";"2018-10-04";1
"E5_01";"G";1005;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1005;324;"report_5H7+TGF-beta.csv";"2018-10-04";1
"E5_02";"G";1264;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1264;337;"report_5H7+TGF-beta.csv";"2018-10-04";1
"E5_03";"G";1305;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1305;226;"report_5H7+TGF-beta.csv";"2018-10-04";1
"F5_01";"G";839;"^ 0.5";1;0.3;"euclidean";0.05;5;20;839;96;"report_5H7+TGF-beta.csv";"2018-10-04";1
"F5_02";"G";1316;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1316;197;"report_5H7+TGF-beta.csv";"2018-10-04";1
"F5_03";"G";1263;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1263;195;"report_5H7+TGF-beta.csv";"2018-10-04";1
"G5_01";"G";708;"^ 0.5";1;0.3;"euclidean";0.05;5;20;708;116;"report_5H7+TGF-beta.csv";"2018-10-04";1
"G5_02";"G";1081;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1081;150;"report_5H7+TGF-beta.csv";"2018-10-04";1
"G5_03";"G";1720;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1720;249;"report_5H7+TGF-beta.csv";"2018-10-04";1
"B8_01";"G";876;"^ 0.5";1;0.3;"euclidean";0.05;5;20;876;130;"report_control.csv";"2018-10-04";1
"B8_02";"G";811;"^ 0.5";1;0.3;"euclidean";0.05;5;20;811;87;"report_control.csv";"2018-10-04";1
"B8_03";"G";640;"^ 0.5";1;0.3;"euclidean";0.05;5;20;640;72;"report_control.csv";"2018-10-04";1
"C8_01";"G";624;"^ 0.5";1;0.3;"euclidean";0.05;5;20;624;61;"report_control.csv";"2018-10-04";1
"C8_02";"G";1014;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1014;161;"report_control.csv";"2018-10-04";1
"C8_03";"G";849;"^ 0.5";1;0.3;"euclidean";0.05;5;20;849;95;"report_control.csv";"2018-10-04";1
"D8_01";"G";747;"^ 0.5";1;0.3;"euclidean";0.05;5;20;747;79;"report_control.csv";"2018-10-04";1
"D8_02";"G";1021;"^ 0.5";1;0.3;"euclidean";0.05;5;20;1021;147;"report_control.csv";"2018-10-04";1
"D8_03";"G";682;"^ 0.5";1;0.3;"euclidean";0.05;5;20;682;68;"report_control.csv";"2018-10-04";1
"E8_01";"G";658;"^ 0.5";1;0.3;"euclidean";0.05;5;20;658;54;"report_control.csv";"2018-10-04";1
"E8_02";"G";811;"^ 0.5";1;0.3;"euclidean";0.05;5;20;811;89;"report_control.csv";"2018-10-04";1
"E8_03";"G";749;"^ 0.5";1;0.3;"euclidean";0.05;5;20;749;132;"report_control.csv";"2018-10-04";1
"F8_01";"G";396;"^ 0.5";1;0.3;"euclidean";0.05;5;20;396;48;"report_control.csv";"2018-10-04";1
