"name";"channel";"circles";"br.cont";"blur.int";"otsu.offset";"dist.metric";"water.tolerance";"water.ext";"size.threshold";"left.circles";"removed.circles";"file";"date";"exp"
"F5_01";"G";637;"^ 0.5";1;0.3;"euclidean";0.05;5;20;637;115;"report_5H7.csv";"2018-10-03";2
"F5_02";"G";731;"^ 0.5";1;0.3;"euclidean";0.05;5;20;731;139;"report_5H7.csv";"2018-10-03";2
"F5_03";"G";754;"^ 0.5";1;0.3;"euclidean";0.05;5;20;754;152;"report_5H7.csv";"2018-10-03";2
"G5_01";"G";632;"^ 0.5";1;0.3;"euclidean";0.05;5;20;632;91;"report_5H7.csv";"2018-10-03";2
"G5_02";"G";652;"^ 0.5";1;0.3;"euclidean";0.05;5;20;652;112;"report_5H7.csv";"2018-10-03";2
"G5_03";"G";725;"^ 0.5";1;0.3;"euclidean";0.05;5;20;725;175;"report_5H7.csv";"2018-10-03";2
"B7_01";"G";610;"^ 0.5";1;0.3;"euclidean";0.05;5;20;610;124;"report_control.csv";"2018-10-03";2
"B7_02";"G";682;"^ 0.5";1;0.3;"euclidean";0.05;5;20;682;145;"report_control.csv";"2018-10-03";2
"B7_03";"G";567;"^ 0.5";1;0.3;"euclidean";0.05;5;20;567;119;"report_control.csv";"2018-10-03";2
"C7_01";"G";546;"^ 0.5";1;0.3;"euclidean";0.05;5;20;546;83;"report_control.csv";"2018-10-03";2
"C7_02";"G";357;"^ 0.5";1;0.3;"euclidean";0.05;5;20;357;68;"report_control.csv";"2018-10-03";2
"C7_03";"G";686;"^ 0.5";1;0.3;"euclidean";0.05;5;20;686;131;"report_control.csv";"2018-10-03";2
"D7_01";"G";454;"^ 0.5";1;0.3;"euclidean";0.05;5;20;454;52;"report_control.csv";"2018-10-03";2
"D7_02";"G";527;"^ 0.5";1;0.3;"euclidean";0.05;5;20;527;98;"report_control.csv";"2018-10-03";2
"D7_03";"G";475;"^ 0.5";1;0.3;"euclidean";0.05;5;20;475;76;"report_control.csv";"2018-10-03";2
"E7_01";"G";395;"^ 0.5";1;0.3;"euclidean";0.05;5;20;395;45;"report_control.csv";"2018-10-03";2
"E7_02";"G";715;"^ 0.5";1;0.3;"euclidean";0.05;5;20;715;97;"report_control.csv";"2018-10-03";2
"E7_03";"G";460;"^ 0.5";1;0.3;"euclidean";0.05;5;20;460;64;"report_control.csv";"2018-10-03";2
"F7_01";"G";372;"^ 0.5";1;0.3;"euclidean";0.05;5;20;372;35;"report_control.csv";"2018-10-03";2
"F7_02";"G";503;"^ 0.5";1;0.3;"euclidean";0.05;5;20;503;64;"report_control.csv";"2018-10-03";2
"F7_03";"G";322;"^ 0.5";1;0.3;"euclidean";0.05;5;20;322;44;"report_control.csv";"2018-10-03";2
"G7_01";"G";179;"^ 0.5";1;0.3;"euclidean";0.05;5;20;179;57;"report_control.csv";"2018-10-03";2
"G7_02";"G";459;"^ 0.5";1;0.3;"euclidean";0.05;5;20;459;71;"report_control.csv";"2018-10-03";2
"G7_03";"G";512;"^ 0.5";1;0.3;"euclidean";0.05;5;20;512;63;"report_control.csv";"2018-10-03";2
